variable,sample_idx,pct_change,prediction
Y_-2,74,-0.07000000000000002,394.75534
Y_-2,75,-0.07000000000000002,395.47653
Y_-2,76,-0.07000000000000002,396.18948
Y_-2,77,-0.07000000000000002,397.09875
Y_-2,78,-0.07000000000000002,397.28516
Y_-2,79,-0.07000000000000002,398.27426
Y_-2,80,-0.07000000000000002,400.43387
Y_-2,81,-0.07000000000000002,401.98383
Y_-2,82,-0.07000000000000002,401.66882
Y_-2,83,-0.07000000000000002,402.23337
Y_-2,84,-0.07000000000000002,399.84195
Y_-2,85,-0.07000000000000002,399.40884
Y_-2,86,-0.07000000000000002,401.49545
Y_-2,87,-0.07000000000000002,401.82733
Y_-2,88,-0.07000000000000002,401.08475
Y_-2,89,-0.07000000000000002,400.47562
Y_-2,90,-0.07000000000000002,401.59238
Y_-2,91,-0.07000000000000002,400.58527
Y_-2,92,-0.07000000000000002,401.00693
Y_-2,93,-0.07000000000000002,401.75992
Y_-2,94,-0.07000000000000002,400.85458
Y_-2,95,-0.07000000000000002,403.45468
Y_-2,96,-0.07000000000000002,403.51123
Y_-2,97,-0.07000000000000002,404.06058
Y_-2,98,-0.07000000000000002,404.34622
Y_-2,99,-0.07000000000000002,405.5767
Y_-2,100,-0.07000000000000002,407.82346
Y_-2,101,-0.07000000000000002,408.4366
Y_-2,102,-0.07000000000000002,407.6118
Y_-2,103,-0.07000000000000002,408.0184
Y_-2,104,-0.07000000000000002,408.05844
Y_-2,105,-0.07000000000000002,409.0361
Y_-2,106,-0.07000000000000002,404.94598
Y_-2,107,-0.07000000000000002,406.91104
Y_-2,108,-0.07000000000000002,409.6583
Y_-2,109,-0.07000000000000002,410.33096
Y_-2,110,-0.07000000000000002,407.7258
Y_-2,111,-0.07000000000000002,406.4805
Y_-2,112,-0.07000000000000002,407.05118
Y_-2,113,-0.07000000000000002,406.43274
Y_-2,114,-0.07000000000000002,408.06018
Y_-2,115,-0.07000000000000002,409.36465
Y_-2,116,-0.07000000000000002,410.3552
Y_-2,117,-0.07000000000000002,410.50555
